permit_id,wo_id,permit_type,scaffold,crane,gas_test_required,isolation_certificate,issued_date,closed_date,notes
PTW-2019-0001,40000001,COLD_WORK,N,N,N,Y,2019-01-09,2019-02-01,
PTW-2019-0002,40000002,COLD_WORK,N,N,N,Y,2019-01-10,2019-02-01,
PTW-2019-0003,40000003,COLD_WORK,N,N,N,Y,2019-01-12,2019-02-02,
PTW-2019-0004,40000004,COLD_WORK,N,N,N,Y,2019-01-12,2019-02-04,
PTW-2019-0005,40000005,COLD_WORK,N,N,N,Y,2019-01-13,2019-02-05,
PTW-2019-0006,40000006,COLD_WORK,N,N,N,Y,2019-01-14,2019-02-07,
PTW-2019-0007,40000007,COLD_WORK,N,N,N,Y,2019-01-18,2019-02-02,
PTW-2019-0008,40000008,COLD_WORK,N,N,N,Y,2019-01-19,2019-02-06,
PTW-2019-0009,40000009,COLD_WORK,N,N,N,Y,2019-01-23,2019-02-04,
PTW-2019-0010,40000010,COLD_WORK,N,N,N,Y,2019-01-24,2019-02-07,
PTW-2019-0011,40000011,COLD_WORK,N,N,N,Y,2019-01-26,2019-02-06,
PTW-2019-0012,40000012,COLD_WORK,N,N,N,Y,2019-01-27,2019-02-07,
PTW-2019-0013,40000013,COLD_WORK,N,N,N,N,2019-02-14,2019-03-09,
PTW-2019-0014,40000014,COLD_WORK,N,N,N,N,2019-02-18,2019-03-15,
PTW-2019-0015,40000015,COLD_WORK,N,N,N,N,2019-02-20,2019-03-09,
PTW-2019-0016,40000016,COLD_WORK,N,N,N,N,2019-02-27,2019-03-15,
PTW-2019-0017,40000017,COLD_WORK,N,N,N,N,2019-02-28,2019-03-11,
PTW-2019-0018,40000018,COLD_WORK,N,N,N,N,2019-03-25,2019-04-18,
PTW-2019-0019,40000019,COLD_WORK,N,N,N,N,2019-03-28,2019-04-19,Permit issued for external inspection of the lube condition on Diesel product / BFW exchanger 100-E-111; ensure all electrical sources are isolated and verified before commencing cold work.
PTW-2019-0020,40000020,COLD_WORK,N,N,N,N,2019-03-29,2019-04-21,
PTW-2019-0021,40000021,COLD_WORK,N,N,N,N,2019-03-31,2019-04-20,
PTW-2019-0022,40000022,COLD_WORK,N,N,N,N,2019-04-01,2019-04-12,
PTW-2019-0023,40000023,COLD_WORK,N,N,N,N,2019-04-02,2019-04-21,
PTW-2019-0024,40000024,COLD_WORK,N,N,N,N,2019-04-04,2019-04-22,
PTW-2019-0025,40000025,COLD_WORK,N,N,N,N,2019-04-05,2019-04-22,
PTW-2019-0026,40000026,COLD_WORK,N,N,N,N,2019-04-05,2019-04-22,
PTW-2019-0027,40000027,COLD_WORK,N,N,N,N,2019-04-07,2019-04-17,Proceed with the external inspection of the lube condition on Atmospheric Distillation Column 100-C-101 under Cold Work permit WO 40000027; ensure continuous monitoring for any unexpected gas presence despite no initial gas test required.
PTW-2019-0028,40000028,COLD_WORK,N,N,N,N,2019-04-07,2019-04-20,
PTW-2019-0029,40000029,COLD_WORK,N,N,N,N,2019-04-07,2019-04-25,Permit granted for external inspection of lube condition on Crude/atmospheric residue preheat exchanger #6 (100-E-106); ensure all personnel wear appropriate PPE and verify isolation before commencing cold work.
PTW-2019-0030,40000030,COLD_WORK,N,N,N,N,2019-04-07,2019-04-26,
PTW-2019-0031,40000031,COLD_WORK,N,N,N,N,2019-04-07,2019-04-23,
PTW-2019-0032,40000032,COLD_WORK,N,N,N,N,2019-04-08,2019-04-18,
PTW-2019-0033,40000033,COLD_WORK,N,N,N,N,2019-04-09,2019-04-21,Permit issued for external inspection of lube condition on Crude/atmospheric residue preheat exchanger #2 (100-E-102); ensure all cold work precautions are followed and confirm area is free of ignition sources before starting.
PTW-2019-0034,40000034,COLD_WORK,N,N,N,N,2019-04-09,2019-04-25,Permit issued for external inspection of lube condition on Crude/AGO product preheat exchanger #5 (100-E-105); ensure all personnel wear appropriate cold work PPE and verify isolation before starting.
PTW-2019-0035,40000035,COLD_WORK,N,N,N,N,2019-04-09,2019-04-23,
PTW-2019-0036,40000036,COLD_WORK,N,N,N,N,2019-04-10,2019-04-22,Approve cold work permit WO 40000036 for external inspection of lube condition on Residue flash drum 100-D-104; ensure all personnel wear appropriate PPE and maintain communication throughout the task.
PTW-2019-0037,40000037,COLD_WORK,N,N,N,N,2019-04-10,2019-04-20,
PTW-2019-0038,40000038,COLD_WORK,N,N,N,N,2019-04-12,2019-04-25,Permit issued for cold work on overhead naphtha condenser 100-E-107 to perform external inspection of lube condition; ensure all personnel wear appropriate protective equipment and verify isolation before starting the job.
PTW-2019-0039,40000039,COLD_WORK,N,N,N,N,2019-04-15,2019-04-28,
PTW-2019-0040,40000040,COLD_WORK,N,N,N,Y,2019-07-08,2019-07-30,
PTW-2019-0041,40000041,COLD_WORK,N,N,N,Y,2019-07-11,2019-08-02,
PTW-2019-0042,40000042,COLD_WORK,N,N,N,Y,2019-07-20,2019-08-02,
PTW-2019-0043,40000043,COLD_WORK,N,N,N,Y,2019-07-23,2019-08-07,
PTW-2019-0044,40000044,COLD_WORK,N,N,N,Y,2019-09-02,2019-09-20,
PTW-2019-0045,40000044,LIFTING,N,Y,N,Y,2019-09-02,2019-09-20,Permit issued for the replacement of the bearing and coupling on Crude Charge Pump A (100-P-101A) under lifting operations; ensure all lifting equipment is inspected and secured before commencing work.
PTW-2019-0046,40000045,COLD_WORK,N,N,N,Y,2019-10-13,2019-11-07,
PTW-2019-0047,40000046,COLD_WORK,N,N,N,Y,2019-10-14,2019-11-05,
PTW-2019-0048,40000047,COLD_WORK,N,N,N,Y,2019-10-15,2019-11-02,
PTW-2019-0049,40000048,COLD_WORK,N,N,N,Y,2019-10-15,2019-11-04,
PTW-2019-0050,40000049,COLD_WORK,N,N,N,Y,2019-10-16,2019-11-03,Permit granted for vibration check and lube seal inspection on Atmospheric residue bottoms pump A (100-P-104A); ensure all electrical sources remain de-energized throughout the cold work.
PTW-2019-0051,40000050,COLD_WORK,N,N,N,Y,2019-10-20,2019-11-06,
PTW-2019-0052,40000051,COLD_WORK,N,N,N,Y,2019-10-21,2019-11-06,
PTW-2019-0053,40000052,COLD_WORK,N,N,N,Y,2019-10-24,2019-11-07,
PTW-2019-0054,40000053,COLD_WORK,N,N,N,Y,2019-10-25,2019-11-07,
PTW-2019-0055,40000054,COLD_WORK,N,N,N,Y,2019-12-31,2020-01-17,
PTW-2019-0056,40000054,LIFTING,N,Y,N,Y,2019-12-31,2020-01-17,
PTW-2020-0057,40000055,COLD_WORK,N,N,N,Y,2020-01-15,2020-01-30,
PTW-2020-0058,40000056,COLD_WORK,N,N,N,Y,2020-01-15,2020-02-03,Permit granted for vibration check and lubrication seal inspection on Desalter water pump A (100-P-102A); ensure all electrical sources are isolated and verify zero energy before starting work.
PTW-2020-0059,40000057,COLD_WORK,N,N,N,Y,2020-01-17,2020-02-03,
PTW-2020-0060,40000058,COLD_WORK,N,N,N,Y,2020-01-19,2020-02-05,
PTW-2020-0061,40000059,COLD_WORK,N,N,N,N,2020-02-19,2020-03-08,
PTW-2020-0062,40000060,COLD_WORK,N,N,N,N,2020-02-25,2020-03-12,
PTW-2020-0063,40000061,COLD_WORK,N,N,N,N,2020-02-27,2020-03-09,
PTW-2020-0064,40000062,COLD_WORK,N,N,N,N,2020-02-29,2020-03-17,
PTW-2020-0065,40000063,COLD_WORK,N,N,N,N,2020-03-03,2020-03-14,
PTW-2020-0066,40000064,COLD_WORK,N,N,N,Y,2020-03-30,2020-04-17,
PTW-2020-0067,40000065,COLD_WORK,N,N,N,N,2020-03-31,2020-04-23,Authorize calibration of stripping steam flow control valve 100-FV-102 under cold work permit; ensure isolation and verify zero energy state before starting.
PTW-2020-0068,40000066,COLD_WORK,N,N,N,N,2020-03-31,2020-04-24,
PTW-2020-0069,40000067,COLD_WORK,N,N,N,N,2020-04-10,2020-04-21,Permit granted for WO 40000067 to calibrate control valve 100-FV-101 under cold work conditions; ensure all tools are grounded to prevent static discharge during the operation.
PTW-2020-0070,40000068,COLD_WORK,N,N,N,Y,2020-07-09,2020-08-03,
PTW-2020-0071,40000069,COLD_WORK,N,N,N,Y,2020-07-11,2020-07-29,
PTW-2020-0072,40000070,COLD_WORK,N,N,N,Y,2020-07-13,2020-08-04,
PTW-2020-0073,40000071,COLD_WORK,N,N,N,Y,2020-07-14,2020-08-07,Permit issued for vibration check and lubrication seal inspection on Naphtha product pump B (100-P-105B); ensure all equipment is de-energized and verified safe before commencing work.
PTW-2020-0074,40000072,COLD_WORK,N,N,N,Y,2020-07-15,2020-08-08,Permit issued for vibration check and lubrication seal inspection on Diesel product pump B (100-P-106B); ensure all electrical sources are isolated and verified before starting work.
PTW-2020-0075,40000073,COLD_WORK,N,N,N,Y,2020-07-16,2020-08-01,
PTW-2020-0076,40000074,COLD_WORK,N,N,N,Y,2020-07-16,2020-08-05,
PTW-2020-0077,40000075,COLD_WORK,N,N,N,Y,2020-07-17,2020-08-03,Permit issued for vibration check and lubrication seal inspection on Atmospheric residue bottoms pump A (100-P-104A); ensure all electrical sources are isolated and verify zero energy before starting work.
PTW-2020-0078,40000076,COLD_WORK,N,N,N,Y,2020-07-21,2020-08-05,
PTW-2020-0079,40000077,COLD_WORK,N,N,N,Y,2020-07-22,2020-08-06,
PTW-2020-0080,40000078,COLD_WORK,N,N,N,Y,2020-07-24,2020-08-05,
PTW-2020-0081,40000079,COLD_WORK,N,N,N,Y,2020-07-26,2020-08-07,
PTW-2020-0082,40000080,COLD_WORK,N,N,N,N,2020-09-04,2020-10-09,
PTW-2020-0083,40000081,COLD_WORK,Y,N,N,Y,2020-09-06,2020-10-19,
PTW-2020-0084,40000081,LIFTING,Y,Y,N,Y,2020-09-06,2020-10-19,Permit granted for TA open clean and inspect RGKT on overhead trim condenser (100-E-108) using lifting equipment with scaffold and crane; ensure all lifting operations follow safety protocols to prevent load shifts.
PTW-2020-0085,40000082,COLD_WORK,Y,N,N,Y,2020-09-06,2020-10-14,
PTW-2020-0086,40000082,LIFTING,Y,Y,N,Y,2020-09-06,2020-10-14,Approve lifting permit for TA internal inspection and cleaning on Electrostatic Desalter 100-V-101; ensure all crane operations follow safety protocols and verify scaffold stability before work begins.
PTW-2020-0087,40000083,COLD_WORK,N,N,N,N,2020-09-09,2020-10-11,
PTW-2020-0088,40000084,COLD_WORK,Y,N,N,Y,2020-09-12,2020-10-13,
PTW-2020-0089,40000084,LIFTING,Y,Y,N,Y,2020-09-12,2020-10-13,
PTW-2020-0090,40000085,COLD_WORK,Y,N,N,Y,2020-09-12,2020-10-18,
PTW-2020-0091,40000085,LIFTING,Y,Y,N,Y,2020-09-12,2020-10-18,
PTW-2020-0092,40000086,COLD_WORK,Y,N,N,Y,2020-09-12,2020-10-20,
PTW-2020-0093,40000086,LIFTING,Y,Y,N,Y,2020-09-12,2020-10-20,"Permit to work approved for task opening, cleaning, and inspecting the Diesel product / BFW exchanger (100-E-111); ensure all lifting operations with crane and scaffold are conducted safely and personnel remain clear of suspended loads at all times."
PTW-2020-0094,40000087,COLD_WORK,Y,N,N,Y,2020-09-15,2020-10-20,
