tag_dwg,valve_tag,position,isolation_type,pid_doc_id
101-E-001,101-XV-E-001-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-001,101-XV-E-001-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-001,101-XV-E-001-BY,BYPASS,BLOCK,100-PID-001
101-E-001,101-XV-E-001-DR,DRAIN,BLOCK,100-PID-001
101-E-001,101-XV-E-001-VT,VENT,BLOCK,100-PID-001
101-E-002,101-XV-E-002-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-002,101-XV-E-002-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-002,101-XV-E-002-BY,BYPASS,BLOCK,100-PID-001
101-E-002,101-XV-E-002-DR,DRAIN,BLOCK,100-PID-001
101-E-002,101-XV-E-002-VT,VENT,BLOCK,100-PID-001
101-E-003,101-XV-E-003-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-003,101-XV-E-003-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-003,101-XV-E-003-BY,BYPASS,BLOCK,100-PID-001
101-E-003,101-XV-E-003-DR,DRAIN,BLOCK,100-PID-001
101-E-003,101-XV-E-003-VT,VENT,BLOCK,100-PID-001
101-E-004,101-XV-E-004-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-004,101-XV-E-004-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-004,101-XV-E-004-BY,BYPASS,BLOCK,100-PID-001
101-E-004,101-XV-E-004-DR,DRAIN,BLOCK,100-PID-001
101-E-004,101-XV-E-004-VT,VENT,BLOCK,100-PID-001
101-E-015,101-XV-E-015-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-015,101-XV-E-015-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-015,101-XV-E-015-BY,BYPASS,BLOCK,100-PID-001
101-E-015,101-XV-E-015-DR,DRAIN,BLOCK,100-PID-001
101-E-015,101-XV-E-015-VT,VENT,BLOCK,100-PID-001
101-E-006,101-XV-E-006-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-006,101-XV-E-006-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-E-006,101-XV-E-006-BY,BYPASS,BLOCK,100-PID-001
101-E-006,101-XV-E-006-DR,DRAIN,BLOCK,100-PID-001
101-E-006,101-XV-E-006-VT,VENT,BLOCK,100-PID-001
101-E-007,101-XV-E-007-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-004
101-E-007,101-XV-E-007-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-004
101-E-007,101-XV-E-007-BY,BYPASS,BLOCK,100-PID-004
101-E-007,101-XV-E-007-DR,DRAIN,BLOCK,100-PID-004
101-E-007,101-XV-E-007-VT,VENT,BLOCK,100-PID-004
101-E-008A,101-XV-E-008A-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-004
101-E-008A,101-XV-E-008A-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-004
101-E-008A,101-XV-E-008A-BY,BYPASS,BLOCK,100-PID-004
101-E-008A,101-XV-E-008A-DR,DRAIN,BLOCK,100-PID-004
101-E-008A,101-XV-E-008A-VT,VENT,BLOCK,100-PID-004
101-E-009,101-XV-E-009-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-E-009,101-XV-E-009-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-E-009,101-XV-E-009-BY,BYPASS,BLOCK,100-PID-006
101-E-009,101-XV-E-009-DR,DRAIN,BLOCK,100-PID-006
101-E-009,101-XV-E-009-VT,VENT,BLOCK,100-PID-006
101-E-010,101-XV-E-010-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-E-010,101-XV-E-010-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-E-010,101-XV-E-010-BY,BYPASS,BLOCK,100-PID-005
101-E-010,101-XV-E-010-DR,DRAIN,BLOCK,100-PID-005
101-E-010,101-XV-E-010-VT,VENT,BLOCK,100-PID-005
101-E-011,101-XV-E-011-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-E-011,101-XV-E-011-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-E-011,101-XV-E-011-BY,BYPASS,BLOCK,100-PID-006
