wo_id,tag_sap,wo_type,created_date,basic_start,basic_finish,actual_finish,status,short_text,long_text,planned_hours,actual_hours,crew,work_center,priority,ta_id
40000001,100-P-102A,PM02,2019-01-08,2019-02-01,2019-02-02,2019-02-01,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check and inspected lubrication seal on desalter water pump P-102A. No abnormalities detected during inspection. Seal showed normal wear, no leaks found. Equipment operating within specified parameters.",3.8,2.9,"1 fitter, 1 inspector",MECH,3,
40000002,100-P-101B,PM02,2019-01-09,2019-02-01,2019-02-02,2019-02-01,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on crude charge pump B. Inspected lube seal for wear and leaks. No abnormalities detected; equipment operating within normal parameters.,3.7,2.9,"1 fitter, 1 inspector",MECH,3,
40000003,100-P-102B,PM02,2019-01-11,2019-02-02,2019-02-03,2019-02-02,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check on desalter water pump B (P-102B). Inspected lubrication system and mechanical seal for wear and leaks. No abnormalities detected, equipment operating within normal parameters.",3.9,4.4,"1 fitter, 1 inspector",MECH,4,
40000004,100-P-104B,PM02,2019-01-11,2019-02-04,2019-02-05,2019-02-04,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on atmospheric residue bottoms pump B (P-104B). No abnormalities detected. Equipment operating within normal parameters. Maintenance completed as scheduled.,4.5,5.2,"1 fitter, 1 inspector",MECH,3,
40000005,100-P-104A,PM02,2019-01-12,2019-02-03,2019-02-04,2019-02-05,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on lube seal of atmospheric residue bottoms pump A (P-104A). No abnormalities detected. Seal condition confirmed healthy. Equipment returned to service.,4.5,5.1,"1 fitter, 1 inspector",MECH,3,
40000006,100-P-106B,PM02,2019-01-13,2019-02-06,2019-02-07,2019-02-07,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on diesel product pump B (P-106B). No abnormalities detected. Equipment operating within normal parameters.,4.9,6.1,"1 fitter, 1 inspector",MECH,3,
40000007,100-P-101A,PM02,2019-01-17,2019-01-31,2019-02-02,2019-02-02,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check on lube seal of crude charge pump P-101A. Inspected for abnormal noise and movement. No issues found, seal operating within normal parameters.",4.3,4.6,"1 fitter, 1 inspector",MECH,4,
40000008,100-P-103B,PM02,2019-01-18,2019-02-03,2019-02-05,2019-02-06,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on overhead reflux pump B. Lubrication of seal completed. Inspected seal condition; found no abnormalities. Equipment operating within normal parameters.,3.6,4.4,"1 fitter, 1 inspector",MECH,4,
40000009,100-P-103A,PM02,2019-01-22,2019-02-02,2019-02-04,2019-02-04,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on overhead reflux pump P-103A. Lubrication of seal inspected and verified. No abnormalities detected during inspection. Equipment operating within normal parameters.,4.9,3.9,"1 fitter, 1 inspector",MECH,4,
40000010,100-P-106A,PM02,2019-01-23,2019-02-05,2019-02-07,2019-02-07,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on diesel product pump A (P-106A). Inspected lubrication system and seal condition. No abnormalities found; equipment operating within normal parameters.,4.7,5.0,"1 fitter, 1 inspector",MECH,3,
40000011,100-P-105A,PM02,2019-01-25,2019-02-04,2019-02-06,2019-02-06,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on Naphtha product pump A (P-105A) during naphtha rundown. No abnormalities detected in seal condition. Equipment operated within normal vibration limits. Job closed.,4.0,3.5,"1 fitter, 1 inspector",MECH,3,
40000012,100-P-105B,PM02,2019-01-26,2019-02-05,2019-02-07,2019-02-07,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check and inspected lube seal on Naphtha product pump B (P-105B) during naphtha rundown. No abnormalities detected, equipment operating within normal parameters. Maintenance completed and pump returned to service.",3.1,3.5,"1 fitter, 1 inspector",MECH,4,
40000013,100-LV-102,PM02,2019-02-13,2019-03-08,2019-03-10,2019-03-09,CLSD,CALIBRATE CONTROL VALVE,Calibrated column bottoms level control valve LV-102 as scheduled. Verified valve response and adjusted setpoints to ensure accurate level control. No abnormalities detected during calibration. Equipment operating within normal parameters post-maintenance.,3.8,4.7,1 instrument tech,INST,4,
