wo_id,material_no,material_desc,qty,unit
40000001,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000001,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000002,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000002,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000003,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000003,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000004,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000004,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000005,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000005,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000006,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000006,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000007,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000007,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000008,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000008,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000009,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000009,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000010,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000010,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000011,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000011,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000012,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000012,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000013,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000014,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000015,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000016,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000017,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000018,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000019,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000020,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000021,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000022,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000023,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000024,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000025,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000026,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000027,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000028,INSP-UT-COUPLANT,UT couplant,1.0,BT
