insp_id,tag_dwg,insp_date,insp_type,finding_text,fouling_pct,wall_min_mm,vib_mm_s,severity,recommendation,next_insp_due
INS-2019-0001,101-P-001B,2019-01-21,VIBRATION,Crude charge pump B (P-101B) was inspected for vibration on 2019-01-21. The vibration reading recorded was 2.66 mm/s. No abnormalities or deviations from normal operating conditions were observed during the inspection.,,,0.54,LOW,No action,2019-04-22
INS-2019-0002,101-P-002A,2019-01-21,VIBRATION,Desalter water pump A (P-102A) was inspected for vibration on 2019-01-21. Vibration reading recorded at 2.6 mm/s. No visible signs of seal leakage observed during inspection. Equipment operating under normal conditions at time of assessment.,,,2.38,LOW,No action,2019-04-22
INS-2019-0003,101-P-004B,2019-01-21,VIBRATION,The atmospheric residue bottoms pump B (P-104B) was inspected for vibration on 2019-01-21. The vibration reading recorded was 2.26 mm/s. No abnormalities or deviations from normal operating conditions were observed during the inspection.,,,0.54,LOW,No action,2019-04-22
INS-2019-0004,101-P-005A,2019-01-21,VIBRATION,Naphtha product pump A (P-105A) was inspected for vibration on 2019-01-21. The vibration reading recorded was 3.01 mm/s. No visible abnormalities or leaks were observed at the seal area during the inspection. Equipment was operating under naphtha rundown service conditions at the time of measurement.,,,2.48,LOW,No action,2019-04-22
INS-2019-0005,101-P-002B,2019-01-22,VIBRATION,Desalter water pump B (P-102B) was inspected for vibration on 2019-01-22. The measured vibration level was 1.88 mm/s. No abnormalities were observed during the inspection. Equipment is operating within expected parameters.,,,0.52,LOW,No action,2019-04-23
INS-2019-0006,101-P-003A,2019-01-22,VIBRATION,Overhead reflux pump A (P-103A) was inspected for vibration on 2019-01-22. The vibration reading recorded was 2.67 mm/s. The pump is in service for column overhead reflux as per drawing 101-P-003A. No additional work orders were noted at the time of inspection.,,,2.54,LOW,No action,2019-04-23
INS-2019-0007,101-P-005B,2019-01-22,VIBRATION,Naphtha product pump B (P-105B) was inspected for vibration on 2019-01-22. The vibration reading recorded was 1.88 mm/s. No abnormalities or deviations from normal operating conditions were observed during the inspection.,,,0.5,LOW,No action,2019-04-23
INS-2019-0008,101-P-006A,2019-01-22,VIBRATION,Diesel product pump A (P-106A) was inspected for vibration on 2019-01-22. The vibration reading recorded was 3.39 mm/s. No abnormalities were observed during the inspection.,,,2.54,LOW,No action,2019-04-23
INS-2019-0009,101-P-003B,2019-01-23,VIBRATION,Overhead reflux pump B (P-103B) was inspected for vibration on 2019-01-23. The vibration reading recorded was 2.03 mm/s. No abnormalities were observed during the inspection. Equipment is operating within expected vibration levels.,,,0.56,LOW,No action,2019-04-24
INS-2019-0010,101-P-004A,2019-01-23,VIBRATION,The atmospheric residue bottoms pump A (P-104A) was inspected for vibration on 2019-01-23. Vibration readings recorded were 2.63 mm/s. No abnormalities or deviations from normal operating conditions were observed during the inspection. Equipment is operating within expected parameters.,,,2.33,LOW,No action,2019-04-24
INS-2019-0011,101-P-006B,2019-01-23,VIBRATION,The diesel product pump B (P-106B) in diesel rundown service was inspected for vibration on 2019-01-23. The vibration reading recorded was 1.67 mm/s. No abnormalities were observed during the inspection.,,,0.56,LOW,No action,2019-04-24
INS-2019-0012,101-P-001A,2019-02-03,VIBRATION,Crude charge pump A (P-101A) vibration inspection conducted on 2019-02-03 showed a vibration level of 3.37 mm/s. The equipment is in service for crude charge to heater as per drawing 101-P-001A. Previous work order indicates a vibration check and lubrication seal inspection was performed.,,,3.27,LOW,No action,2019-05-05
